ID,Title,ShortDescrition,BookPoints,BoB,ReasonForBoB,status,ReasonForDeny,Schvalovatel,Created,Created By,CategoryID,gb_title,gb_authors,gb_pageCount,gb_categories,gb_subtitle,gb_publisher,gb_publishedDate,gb_description,gb_isbn_10,gb_isbn_13,gb_printType,gb_mainCategory,gb_language,gb_averageRating,gb_ratingsCount,gb_dim_height,gb_dim_width,gb_dim_thickness,gb_img_smallThumbnail,gb_img_thumbnail,gb_img_small,gb_img_medium,gb_img_large,gb_img_extraLarge,gb_previewLink,gb_infoLink,gb_canonicalVolumeLink,gb_isEbook,gb_saleability,gb_buyLink,gb_viewability,gb_publicDomain,gb_epub_available,gb_pdf_available,ai_category,ai_points,ai_thematic_area,ai_remove_flag,ai_reason,ai_model,ai_prompt_version
12,12 Pravidel Pro Život,,2,True,,,,,14.09.2024 18:39,Chamrád Michal (S-PEF),10,12 pravidel pro život,Jordan B. Peterson,,,protilátka proti chaosu,,2019,,8025727920,9788025727928,BOOK,,cs,,,,,,,,,,,,http://books.google.cz/books?id=WCAAywEACAAJ&dq=intitle:12+Pravidel+Pro+%C5%BDivot&hl=&cd=1&source=gbs_api,http://books.google.cz/books?id=WCAAywEACAAJ&dq=intitle:12+Pravidel+Pro+%C5%BDivot&hl=&source=gbs_api,https://books.google.com/books/about/12_pravidel_pro_%C5%BEivot.html?hl=&id=WCAAywEACAAJ,False,NOT_FOR_SALE,,NO_PAGES,False,False,False,1,1,,no,"Kniha je schválena, jelikož se jedná o celosvětově známé dílo z oblasti osobního rozvoje. Obsahově spadá do kategorie 'Inspirace', neboť nabízí soubor esejů a životních principů, které mají čtenáře inspirovat a vést k zamyšlení. Nejde o praktický manuál s konkrétními kroky, ale o populárně-naučné, motivační čtení, proto je kniha ohodnocena kategorií 1 a získává 1 bod.",gemini-2.5-pro,v1
541,Steve Jobs,,2,True,,Schváleno,,Plichta Jonáš (S),15.01.2025 13:02,Sobotka Radim (S-PEF),10,"Já, Steve","Steven Jobs, George W. Beahm",157,,Steve Jobs vlastními slovy,,2012,,8073493101,9788073493103,BOOK,,cs,,,,,,,,,,,,http://books.google.cz/books?id=-F3HlwEACAAJ&dq=intitle:Steve+Jobs&hl=&cd=1&source=gbs_api,http://books.google.cz/books?id=-F3HlwEACAAJ&dq=intitle:Steve+Jobs&hl=&source=gbs_api,https://books.google.com/books/about/J%C3%A1_Steve.html?hl=&id=-F3HlwEACAAJ,False,NOT_FOR_SALE,,NO_PAGES,False,False,False,1,1,Inovace & kreativita,no,"Kniha je schválena. Jde o biografický titul zaměřený na myšlenky a život Steva Jobse, což jednoznačně spadá do kategorie 1 – Inspirace. Tomu odpovídá základní hodnocení 1 bod. Rozsah 157 stran je v normě a nevyžaduje úpravu bodového hodnocení. Publikace je vysoce relevantní, neboť poskytuje inspirativní pohled na leadership, inovace a marketing skrze myšlení jedné z klíčových postav moderního byznysu.",gemini-2.5-pro,v1
14,Umění Vítězit,,2,True,,,,,14.09.2024 18:39,Chamrád Michal (S-PEF),4,Umění vítězit,Philip H. Knight,,,paměti zakladatele firmy NIKE,,2017,,802493261X,9788024932613,BOOK,,cs,,,,,,,,,,,,http://books.google.cz/books?id=CDSAtAEACAAJ&dq=intitle:Um%C4%9Bn%C3%AD+V%C3%ADt%C4%9Bzit&hl=&cd=1&source=gbs_api,http://books.google.cz/books?id=CDSAtAEACAAJ&dq=intitle:Um%C4%9Bn%C3%AD+V%C3%ADt%C4%9Bzit&hl=&source=gbs_api,https://books.google.com/books/about/Um%C4%9Bn%C3%AD_v%C3%ADt%C4%9Bzit.html?hl=&id=CDSAtAEACAAJ,False,NOT_FOR_SALE,,NO_PAGES,False,False,False,1,1,,no,"Kniha je schválena, protože se jedná o inspirativní autobiografii zakladatele společnosti Nike. Obsah spadá do kategorie 1 (Inspirace), jelikož popisuje osobní příběh a cestu k úspěchu, nikoliv konkrétní návody nebo systémové teorie, a proto získává 1 bod. Počet stran není k dispozici, proto se bodování nemění. Dílo slouží jako silná motivace a vhled do podnikatelského myšlení.",gemini-2.5-pro,v1
15,#Girlboss,,2,True,,,,,14.09.2024 18:39,Chamrád Michal (S-PEF),5,#GIRLBOSS,Sophia Amoruso,253,Business & Economics,,Penguin,2014-05-06,"In the New York Times bestseller that the Washington Post called “Lean In for misfits,” Sophia Amoruso shares how she went from dumpster diving to founding one of the fastest-growing retailers in the world. Amoruso spent her teens hitchhiking, committing petty theft, and scrounging in dumpsters for leftover bagels. By age twenty-two she had dropped out of school, and was broke, directionless, and checking IDs in the lobby of an art school—a job she’d taken for the health insurance. It was in that lobby that Sophia decided to start selling vintage clothes on eBay. Flash forward to today, and she’s the founder of Nasty Gal and the founder and CEO of Girlboss. Sophia was never a typical CEO, or a typical anything, and she’s written #GIRLBOSS for other girls like her: outsiders (and insiders) seeking a unique path to success, even when that path is windy as all hell and lined with naysayers. #GIRLBOSS proves that being successful isn’t about where you went to college or how popular you were in high school. It’s about trusting your instincts and following your gut; knowing which rules to follow and which to break; when to button up and when to let your freak flag fly. “A witty and cleverly told account . . . It’s this kind of honest advice, plus the humorous ups and downs of her rise in online retail, that make the book so appealing.” —Los Angeles Times “Amoruso teaches the innovative and entrepreneurial among us to play to our strengths, learn from our mistakes, and know when to break a few of the traditional rules.” —Vanity Fair “#GIRLBOSS is more than a book . . . #GIRLBOSS is a movement.” —Lena Dunham",0698154908,9780698154902,BOOK,,en,4.5,2,,,,http://books.google.com/books/content?id=jGJ-AgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=jGJ-AgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,http://books.google.cz/books?id=jGJ-AgAAQBAJ&pg=PA11&dq=intitle:%23Girlboss&hl=&cd=1&source=gbs_api,http://books.google.cz/books?id=jGJ-AgAAQBAJ&dq=intitle:%23Girlboss&hl=&source=gbs_api,https://books.google.com/books/about/GIRLBOSS.html?hl=&id=jGJ-AgAAQBAJ,False,NOT_FOR_SALE,,PARTIAL,False,True,False,1,1,,no,"Kniha je schválena. Jedná se o inspirativní biografii a self-help příběh, který spadá do kategorie 1 (Inspirace). Obsah se zaměřuje na motivaci skrze osobní cestu autorky k úspěchu, nikoli na konkrétní návody či komplexní teorie, proto je hodnocení 1 bod. Rozsah knihy je standardní a neovlivňuje bodové hodnocení. Díky svému zaměření na individuální cestu a podnikání je kniha zařazena do oblasti Osobní rozvoj.",gemini-2.5-pro,v1
16,10 Zlatých Pravidel Péče O Zákazníka,,1,True,,,,,14.09.2024 18:39,Chamrád Michal (S-PEF),5,10 zlatých pravidel péče o zákazníka aneb CRM v digitálním věku,"Ivan Bureš, Pavel Řehulka",158,,,,2002,,8072610562,9788072610563,BOOK,,cs,4,1,,,,,,,,,,http://books.google.cz/books?id=hvknAAAACAAJ&dq=intitle:10+Zlat%C3%BDch+Pravidel+P%C3%A9%C4%8De+O+Z%C3%A1kazn%C3%ADka&hl=&cd=1&source=gbs_api,http://books.google.cz/books?id=hvknAAAACAAJ&dq=intitle:10+Zlat%C3%BDch+Pravidel+P%C3%A9%C4%8De+O+Z%C3%A1kazn%C3%ADka&hl=&source=gbs_api,https://books.google.com/books/about/10_zlat%C3%BDch_pravidel_p%C3%A9%C4%8De_o_z%C3%A1kazn%C3%ADk.html?hl=&id=hvknAAAACAAJ,False,NOT_FOR_SALE,,NO_PAGES,False,False,False,2,2,Komunikace & prodej,no,"Kniha je schválena. Název '10 zlatých pravidel péče o zákazníka' a podtitul 'CRM v digitálním věku' jasně naznačují, že se jedná o praktickou příručku s konkrétními postupy a návody, což odpovídá kategorii 2. Standardní hodnocení jsou 2 body. Počet stran 158 je přiměřený a nevyžaduje úpravu bodování. Kniha se zaměřuje na budování vztahů se zákazníky, proto je zařazena do tematické oblasti Komunikace & prodej.",gemini-2.5-pro,v1
17,17 Zákonov Tímovej Práce,,3,True,,,,,14.09.2024 18:39,Chamrád Michal (S-PEF),5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,Leadership,no,"Kniha je schválena. Název '17 Zákonov Tímovej Práce' jasně naznačuje, že jde o praktickou příručku s konkrétními pravidly a postupy, což odpovídá kategorii 2 (Praktická dovednost, proces a nástroj). Z tohoto důvodu jsou přiděleny 2 body. Jelikož počet stran není znám, body se dále neupravují. Tematicky kniha spadá do oblasti leadershipu, kde je efektivní týmová práce naprosto zásadní.",gemini-2.5-pro,v1
18,21 Lessons For The 21St Century,,3,True,,,,,14.09.2024 18:39,Chamrád Michal (S-PEF),5,21 Lessons for the 21st Century,Yuval Noah Harari,0,History,,Signal,2018-09-04,"New York Times Bestseller National Bestseller With Sapiens and Homo Deus, Yuval Noah Harari first explored the past, then the future of humankind, garnering the praise of no less than Barack Obama, Bill Gates, and Mark Zuckerberg, to name a few, and selling millions of copies in the over 30 countries it was published. In 21 Lessons for the 21st Century, he devotes himself to the present. 21 Lessons For the 21st Century provides a kind of instruction manual for the present day to help readers find their way around the 21st century, to understand it, and to focus on the really important questions of life. Once again, Harari presents this in the distinctive, informal, and entertaining style that already characterized his previous books. The topics Harari examines in this way include major challenges such as international terrorism, fake news, and migration, as well as turning to more personal, individual concerns, such as our time for leisure or how much pressure and stress we can take. 21 Lessons for the 21st Century answers the overarching question: What is happening in the world today, what is the deeper meaning of these events, and how can we individually steer our way through them? The questions include what the rise of Trump signifies, whether or not God is back, and whether nationalism can help solve problems like global warming. Few writers of non-fiction have captured the imagination of millions of people in quite the astonishing way Yuval Noah Harari has managed, and in such a short space of time. His unique ability to look at where we have come from and where we are going has gained him fans from every corner of the globe. There is an immediacy to this new book which makes it essential reading for anyone interested in the world today and how to navigate its turbulent waters.",0771048858,9780771048852,BOOK,,en,,,,,,http://books.google.com/books/content?id=foyTEAAAQBAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api,http://books.google.com/books/content?id=foyTEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,,,,http://books.google.cz/books?id=foyTEAAAQBAJ&dq=intitle:21+Lessons+For+The+21St+Century&hl=&cd=1&source=gbs_api,http://books.google.cz/books?id=foyTEAAAQBAJ&dq=intitle:21+Lessons+For+The+21St+Century&hl=&source=gbs_api,https://books.google.com/books/about/21_Lessons_for_the_21st_Century.html?hl=&id=foyTEAAAQBAJ,False,NOT_FOR_SALE,,NO_PAGES,False,False,False,3,3,,no,"Kniha je schválena, protože se zabývá klíčovými výzvami a otázkami současné společnosti. Autor Yuval Noah Harari nabízí hlubokou analýzu současných globálních témat, od politiky po technologii, a vybízí čtenáře ke komplexnímu a systémovému přemýšlení o světě. Nejde o jednoduchý návod, ale o filozoficky náročné dílo, které má potenciál změnit paradigma uvažování, proto spadá do kategorie 3. S hodnocením 3 se pojí standardní bodování, které se nemění, protože počet stran není k dispozici.",gemini-2.5-pro,v1
19,23 Zabijáků Prokrastinace,,3,True,,,,,14.09.2024 18:39,Chamrád Michal (S-PEF),5,23 zabijáků prokrastinace,S. J. Scott,113,Self-Help,,BizBooks,2015-01-01,"Měli byste se soustředit na práci či na učení, místo toho vás ale napadá spousta výmluv, proč se do úkolu nemůžete pustit. Potřebujete zavolat Robertovi, nemáte správné materiály, ořezané tužky nebo zkrátka nevíte, odkud začít. Ať už zní naše ""protože"" jakkoli, všichni zažíváme okamžiky, kdy prokrastinujeme. Zanechat prokrastinace je však snadné. Opravdu. Stačí jen, abyste si osvojili určité návyky a z nich pak udělali běžnou součást svého života. V této knize najdete přehled nápadů, které vám pomohou vyhnout se každodenní prokrastinaci.Zatímco mnoho knih nabízí pouze seznam tipů, jak na to, zde se dozvíte, proč je určitá strategie funkční, jaká omezující přesvědčení lze s její pomocí překonat a jak ji můžete okamžitě využít ve svém životě. Zkrátka, poznáte hlavní příčiny své prokrastinace a naučíte se, jak nad nimi zvítězit.",8026503511,9788026503514,BOOK,,cs,,,,,,http://books.google.com/books/content?id=gzEnCwAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api,http://books.google.com/books/content?id=gzEnCwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,,,,http://books.google.cz/books?id=gzEnCwAAQBAJ&printsec=frontcover&dq=intitle:23+Zabij%C3%A1k%C5%AF+Prokrastinace&hl=&cd=1&source=gbs_api,http://books.google.cz/books?id=gzEnCwAAQBAJ&dq=intitle:23+Zabij%C3%A1k%C5%AF+Prokrastinace&hl=&source=gbs_api,https://books.google.com/books/about/23_zabij%C3%A1k%C5%AF_prokrastinace.html?hl=&id=gzEnCwAAQBAJ,False,NOT_FOR_SALE,,PARTIAL,False,True,True,2,1,,no,"Kniha je schválena, protože se jedná o klasickou příručku pro osobní rozvoj. Spadá do kategorie 2, jelikož nabízí soubor konkrétních tipů a praktických postupů, jak překonat prokrastinaci. Ačkoli se jedná o praktickou dovednost (2 body), bodové hodnocení je sníženo na 1 bod kvůli velmi malému rozsahu knihy, který je pod hranicí 120 stran.",gemini-2.5-pro,v1
20,"Mnich, Který Prodal Své Ferrari","Kniha Mnich, který prodal své ferrari je průvodcem člověka na cestě k pochopení vlastní osobnosti. Její autor Robin S. Sharma je odborníkem na rozvoj duchovního rozvoje.  
Sharma popisuje hledání identity na příběhu Juliana Mantla, úspěšného, známého a velice bohatého právníka.  Julian má zdánlivě vše, co si člověk může přát, přesto ve svém životě pociťuje nespokojenost a prázdnotu. Skutečná krize nastává, když jej přímo v soudní síni zasáhne srdeční zástava. Julian se octne na prahu smrti. Rekapituluje svůj dosavadní život, úspěchy i prohry, a v perspektivě hrozící smrti začne přehodnocovat dosavadní zkušenosti. Uvědomí si, kolik měl dříve snů, na které díky kariéře zapomněl. Rozhodne se od základu změnit svůj život.
Dobrovolně se vzdá svého majetku a odjíždí daleko od civilizace, do Indie, aby zde žil mezi příslušníky prastaré kultury. Záhadné společenství mudrců ze Sivany obývá malou oblast na okraji Tibetu, s okolím neudržují žádný kontakt a věnují se studiu filozofie a meditačních technik. Do jejich společenství Julian zamíří, aby po svém hektickém životě v Americe našel klid. Poznává moudrost sivanských mnichů, a dostává od nich pověření šířit jejich myšlenky na Západ.
Do Ameriky se vrací po třech letech jako vyrovnaný člověk. O svém duchovním životě vypráví svému bývalému mladšímu kolegovi, stává se pro něj mistrem a uvádí jej na cestu vnitřní harmonie. Na tuto cestu nenápadně vede i čtenáře…
Kniha byla přeložena do více než třiceti jazyků a pomohla mnoha lidem změnit svůj život k lepšímu.",2,True,"Kniha Mnich, který prodal své ferrari je průvodcem člověka na cestě k pochopení vlastní osobnosti. Její autor Robin S. Sharma je odborníkem na rozvoj duchovního rozvoje.  
Sharma popisuje hledání identity na příběhu Juliana Mantla, úspěšného, známého a velice bohatého právníka.  Julian má zdánlivě vše, co si člověk může přát, přesto ve svém životě pociťuje nespokojenost a prázdnotu. Skutečná krize nastává, když jej přímo v soudní síni zasáhne srdeční zástava. Julian se octne na prahu smrti. Rekapituluje svůj dosavadní život, úspěchy i prohry, a v perspektivě hrozící smrti začne přehodnocovat dosavadní zkušenosti. Uvědomí si, kolik měl dříve snů, na které díky kariéře zapomněl. Rozhodne se od základu změnit svůj život.
Dobrovolně se vzdá svého majetku a odjíždí daleko od civilizace, do Indie, aby zde žil mezi příslušníky prastaré kultury. Záhadné společenství mudrců ze Sivany obývá malou oblast na okraji Tibetu, s okolím neudržují žádný kontakt a věnují se studiu filozofie a meditačních technik. Do jejich společenství Julian zamíří, aby po svém hektickém životě v Americe našel klid. Poznává moudrost sivanských mnichů, a dostává od nich pověření šířit jejich myšlenky na Západ.
Do Ameriky se vrací po třech letech jako vyrovnaný člověk. O svém duchovním životě vypráví svému bývalému mladšímu kolegovi, stává se pro něj mistrem a uvádí jej na cestu vnitřní harmonie. Na tuto cestu nenápadně vede i čtenáře…
Kniha byla přeložena do více než třiceti jazyků a pomohla mnoha lidem změnit svůj život k lepšímu.",Čeká na schválení,,,14.09.2024 18:39,Chamrád Michal (S-PEF),8,"Mnich, který prodal své Ferrari",Robin Shilp Sharma,182,,duchovní příběh o naplnění snů a směřování k životním cílům,,2003,,8071787264,9788071787266,BOOK,,cs,,,,,,,,,,,,"http://books.google.cz/books?id=ZJR7AAAACAAJ&dq=intitle:Mnich,+Kter%C3%BD+Prodal+Sv%C3%A9+Ferrari&hl=&cd=1&source=gbs_api","http://books.google.cz/books?id=ZJR7AAAACAAJ&dq=intitle:Mnich,+Kter%C3%BD+Prodal+Sv%C3%A9+Ferrari&hl=&source=gbs_api",https://books.google.com/books/about/Mnich_kter%C3%BD_prodal_sv%C3%A9_Ferrari.html?hl=&id=ZJR7AAAACAAJ,False,NOT_FOR_SALE,,NO_PAGES,False,False,False,1,1,,no,"Kniha je schválena, protože se jedná o klasické dílo z oblasti osobního rozvoje. Spadá do kategorie 1 (Inspirace) a získává 1 bod, neboť jde o motivační příběh a self-help knihu podanou formou lehkého, inspirativního čtení. Neobsahuje komplexní frameworky nebo podrobné návody (jako H2), ani není filozoficky náročná (jako H3). Počet stran (182) je v běžném rozsahu a neovlivňuje základní bodové hodnocení.",gemini-2.5-pro,v1
21,Cesta Ke Štěstí,,1,True,,,,,14.09.2024 18:39,Chamrád Michal (S-PEF),8,Cesta ke štěstí,Kurt Tepperwein,175,,"dnes, zítra a navždy",,2010,,8081110267,9788081110269,BOOK,,cs,,,,,,,,,,,,http://books.google.cz/books?id=hGtbngEACAAJ&dq=intitle:Cesta+Ke+%C5%A0t%C4%9Bst%C3%AD&hl=&cd=1&source=gbs_api,http://books.google.cz/books?id=hGtbngEACAAJ&dq=intitle:Cesta+Ke+%C5%A0t%C4%9Bst%C3%AD&hl=&source=gbs_api,https://books.google.com/books/about/Cesta_ke_%C5%A1t%C4%9Bst%C3%AD.html?hl=&id=hGtbngEACAAJ,False,NOT_FOR_SALE,,NO_PAGES,False,False,False,1,1,,no,"Kniha je dle svého názvu a autora zařazena do kategorie inspirativní četby a osobního rozvoje. Jedná se o typickou self-help literaturu, která poskytuje motivaci a obecné úvahy, nikoli konkrétní návody nebo komplexní teorie. Z tohoto důvodu kniha získává 1 bod v kategorii 1. Počet stran 175 neovlivňuje základní bodové hodnocení.",gemini-2.5-pro,v1
